Title,Author,Times Read,Additional Words
Rhythm of War,Brandon Sanderson,2,455891
Oathbringer,Brandon Sanderson,2,451912
Words of Radiance,Brandon Sanderson,2,399431
The Way of Kings,Brandon Sanderson,2,383389
House of Earth and Blood,Sarah J Maas,2,246000
House of Sky and Breath,Sarah J Maas,2,245106
The Final Empire,Brandon Sanderson,2,210103
The Hunger of the Gods,John Gwynne,2,196144
Warbreaker,Brandon Sanderson,2,196014
The Fellowship of the Ring,JRR Tolkien,2,187790
Dune,Frank Herbert,2,187240
Gleam,Raven Kennedy,2,183287
The Two Towers,JRR Tolkien,2,156198
The Shadow of the Gods,John Gwynne,2,143520
Glint,Raven Kennedy,2,143221
The Return of the King,JRR Tolkien,2,137115
The Blacktongue Theif,Christopher Buehlman,2,115640
Yumi and the Nightmare Painter,Brandon Sanderson,2,112896
Gild,Raven Kennedy,2,111826
The Hobbit,JRR Tolkien,2,95356
Dune Messiah,Frank Herbert,2,72449
The Gunslinger,Stephen King,2,68150
Dawnshard,Brandon Sanderson,2,55096
Edgedancer,Brandon Sanderson,2,40666
