Title,Author,Word Count
The Stand,Stephen King,472376
It,Stephen King,444671
Under the Dome,Stephen King,299280
11/22/63,Stephen King,266800
Four Past Midnight,Stephen King,257955
The History of the Hobbit,JRR Tolkien,255360
The Tommyknockers,Stephen King,241570
Nightmares & Dreamscapes,Stephen King,233450
Insomnia,Stephen King,223155
Sleeping Beauties,Stephen King,220690
Needful Things,Stephen King,219095
Dreamcatcher,Stephen King,198215
Skeleton Crew,Stephen King,195605
Bag of Bones,Stephen King,185745
Duma Key,Stephen King,182700
Desperation,Stephen King,182488
Different Seasons,Stephen King,176175
The Bazaar of Bad Dreams,Stephen King,175595
Hearts in Atlantis,Stephen King,173750
Christine,Stephen King,170375
The Institute,Stephen King,165300
Lisey's Story,Stephen King,164140
Babel,RF Kuang,162656
The Outsider,Stephen King,162545
The Sword of Kaigen,ML Wang,162251
Salem's Lot,Stephen King,153120
Fairy Tale,Stephen King,152000
Rose Madder,Stephen King,151090
Everything's Eventual: 14 Dark Tales,Stephen King,149785
The Adventures of Amina Al-Sirafi,Shannon Chakraborty,144417
The Complete Guide to Middle Earth,Robert Foster,142250
The Dead Zone,Stephen King,140940
Pet Sematary,Stephen King,136445
Night Shift,Stephen King,136000
The Invisible Life of Addie LaRue,VE Schwab,132756
The Dark Half,Stephen King,132675
Billy Summers,Stephen King,132000
If It Bleeds,Stephen King,130500
The Silmarillion,JRR Tolkien,130000
Firestarter,Stephen King,129485
"Full Dark, No Stars",Stephen King,129340
In the Lives of Puppets,TJ Klune,129168
Just after Sunset,Stephen King,128905
You Like it Darker,Stephen King,124500
Cujo,Stephen King,122960
Credence,Penelope Douglas,121250
The Green Mile,Stephen King,120785
Unfinished Tales of Numenor and Middle-Earth,JRR Tolkien,120000
The Great Alone,Kristin Hannah,119808
Revival,Stephen King,119770
Gerald's Game,Stephen King,118030
The House in the Cerulean Sea,TJ Klune,117806
Lessons in Chemistry,Bonnie Garmus,116610
From a Buick 8,Stephen King,116435
The Nature of Middle Earth,JRR Tolkien,116200
Holly,Stephen King,111500
Misery,Stephen King,110565
The Nightingale,Kristin Hannah,110000
Cell,Stephen King,109620
Tales from the Perilous Realm,JRR Tolkien,108000
The Regulators,Stephen King,105995
A Knight of the Seven Kingdoms,George RR Martin,105984
Under the Whispering Door,TJ Klune,104440
The World of the Wheel of Time,Robert Jordan,102000
Reminders of Him,Colleen Hoover,100165
The World of Ice & Fire,George RR Martin,100000
Somewhere Beyond the Sea,TJ Klune,100000
Ugly Love,Colleen Hoover,99567
Verity,Colleen Hoover,96876
The Ten Thousand Doors of January,Harrow Alix E,96000
The Song of Achilles,Madeline Miller,94500
The Long Walk,Stephen King,93525
Liftoff,Eric Berger,93024
Something in the Water,Catherine Steadman,92750
November 9,Colleen Hoover,92690
Regretting You,Colleen Hoover,91250
Starling House,Harrow Alix E,91200
Layla,Colleen Hoover,91195
All Your Perfects,Colleen Hoover,91195
The Eyes of the Dragon,Stephen King,90335
Thinner,Stephen King,88595
"Hunt, Gather, Parent",Michaeleen Doucleff,88000
Dark Matter,Blake Crouch,87860
The Children of Hurin,JRR Tolkien,87640
Girl Serpent Thorn,Melissa Bashardoust,87080
Roadwork,Stephen King,83665
The Fall of Numenor,JRR Tolkien,82320
Yellowface,RF Kuang,80750
Dolores Claiborne,Stephen King,80475
The Fall of Gondolin,JRR Tolkien,76000
They Both Die at the End,Adam Silvera,72668
Beren and Luthien,JRR Tolkien,72000
Blaze,Stephen King,71485
The Running Man,Stephen King,66990
Joyland,Stephen King,65395
Carrie,Stephen King,64960
Later,Stephen King,64000
The Book You Wish Your Parents Had Read,Philippa Perry,60000
The Girl Who Loved Tom Gordon,Stephen King,56550
The Subtle Art of Not Giving a Fuck,Mark Manson,56000
Rage,Stephen King,54176
The Great Gatsby,F Scott Fitzgerald,48500
Elevation,Stephen King,32770
Cycle of the Werewolf,Stephen King,32000
The Colorado Kid,Stephen King,31610
